id_provincia_indec,fecha,puestos,masa
18.0,2019-04-01,180616.0,6476977884.0
18.0,2019-05-01,180314.0,6564007717.0
18.0,2019-06-01,180867.0,9630783138.0
18.0,2019-07-01,178929.0,7092972982.0
18.0,2019-08-01,181651.0,7533732812.0
18.0,2019-09-01,179701.0,7504981150.0
18.0,2019-10-01,182515.0,8249603976.0
18.0,2019-11-01,181086.0,8443973835.0
18.0,2019-12-01,179483.0,11377149384.0
18.0,2020-01-01,177760.0,8416193338.0
18.0,2020-02-01,177957.0,8569156425.0
18.0,2020-03-01,178824.0,8797934033.0
18.0,2020-04-01,177702.0,9002823615.0
18.0,2020-05-01,176954.0,9014303003.0
18.0,2020-06-01,176667.0,12771439393.0
18.0,2020-07-01,176220.0,9416318019.0
18.0,2020-08-01,177161.0,9908515382.0
18.0,2020-09-01,177644.0,10003411368.0
18.0,2020-10-01,178137.0,10817829459.0
18.0,2020-11-01,178003.0,10872179972.0
18.0,2020-12-01,177146.0,15796415337.0
18.0,2021-01-01,177031.0,11643923323.0
18.0,2021-02-01,177966.0,11914067594.0
18.0,2021-03-01,179601.0,12348698982.0
18.0,2021-04-01,180728.0,12931013652.0
18.0,2021-05-01,180893.0,13414728656.0
18.0,2021-06-01,180804.0,19320035756.0
18.0,2021-07-01,180936.0,14882029168.0
18.0,2021-08-01,182456.0,15488377526.0
18.0,2021-09-01,184318.0,15742025223.0
18.0,2021-10-01,184556.0,16254545042.0
18.0,2021-11-01,184734.0,16545855037.0
18.0,2021-12-01,183042.0,24309656217.0
18.0,2022-01-01,182230.0,17714082434.0
18.0,2022-02-01,182738.0,17843333635.0
18.0,2022-03-01,184869.0,19583377675.0
18.0,2022-04-01,185924.0,20865533570.0
18.0,2022-05-01,187895.0,22024519359.0
18.0,2022-06-01,188107.0,32065188548.0
18.0,2022-07-01,188450.0,25924969402.0
18.0,2022-08-01,189050.0,28537939263.0
18.0,2022-09-01,190833.0,29188943587.0
18.0,2022-10-01,191291.0,30017231149.0
18.0,2022-11-01,192043.0,33090922066.0
22.0,2014-01-01,166111.0,1399261358.0
22.0,2014-02-01,167434.0,1387230541.0
22.0,2014-03-01,167329.0,1455783765.0
22.0,2014-04-01,168525.0,1565123588.0
22.0,2014-05-01,170250.0,1584613464.0
22.0,2014-06-01,171053.0,2290450415.0
22.0,2014-07-01,170980.0,1726861449.0
22.0,2014-08-01,171440.0,1753912226.0
22.0,2014-09-01,172420.0,1788790470.0
22.0,2014-10-01,172309.0,1818835477.0
22.0,2014-11-01,172843.0,1868049116.0
22.0,2014-12-01,172315.0,2633138993.0
22.0,2015-01-01,170557.0,1872059896.0
22.0,2015-02-01,172057.0,1852197368.0
22.0,2015-03-01,174030.0,2006818154.0
22.0,2015-04-01,174966.0,2017826822.0
22.0,2015-05-01,177750.0,2110202421.0
22.0,2015-06-01,178063.0,3128375636.0
22.0,2015-07-01,177606.0,2338920408.0
22.0,2015-08-01,179029.0,2381591342.0
22.0,2015-09-01,178439.0,2496279790.0
22.0,2015-10-01,179444.0,2497229376.0
22.0,2015-11-01,178689.0,2551456205.0
22.0,2015-12-01,178881.0,3665185460.0
22.0,2016-01-01,175050.0,2602085333.0
22.0,2016-02-01,177075.0,2588687246.0
22.0,2016-03-01,178671.0,2898730611.0
22.0,2016-04-01,179042.0,2975733588.0
22.0,2016-05-01,179795.0,3065548133.0
22.0,2016-06-01,179767.0,4424406734.0
22.0,2016-07-01,179356.0,3214993273.0
22.0,2016-08-01,180406.0,3383564702.0
22.0,2016-09-01,181753.0,3424444242.0
22.0,2016-10-01,181747.0,3529354882.0
22.0,2016-11-01,183104.0,3688983162.0
22.0,2016-12-01,182421.0,5273869868.0
22.0,2017-01-01,181191.0,3811668072.0
22.0,2017-02-01,182571.0,3719538079.0
22.0,2017-03-01,181137.0,3757886386.0
22.0,2017-04-01,181812.0,3898340111.0
22.0,2017-05-01,177376.0,3902959044.0
22.0,2017-06-01,183554.0,5828394165.0
22.0,2017-07-01,184589.0,4261192376.0
22.0,2017-08-01,185071.0,4922536046.0
22.0,2017-09-01,185208.0,4381226852.0
22.0,2017-10-01,187430.0,4479053935.0
22.0,2017-11-01,185818.0,4502800363.0
22.0,2017-12-01,186450.0,6459508297.0
22.0,2018-01-01,184080.0,4605871046.0
22.0,2018-02-01,187727.0,4539643165.0
22.0,2018-03-01,178011.0,4412552439.0
22.0,2018-04-01,178097.0,4558164886.0
22.0,2018-05-01,189374.0,4973494580.0
22.0,2018-06-01,188667.0,7065153607.0
22.0,2018-07-01,186487.0,5009156021.0
22.0,2018-08-01,185737.0,5127609912.0
22.0,2018-09-01,188769.0,5357163676.0
22.0,2018-10-01,186725.0,5516013611.0
22.0,2018-11-01,187051.0,5685846037.0
